Epic,User Story Title,Description,Acceptance Criteria,Related Ticket Titles
Job Ingestion & Metadata Extraction,Ingest Job Description (Text),As a user I want to provide a job description as text,System accepts text; validates content; stores Job ID,Implement text ingestion handler; Add JD validation rules; Generate Job ID module
Job Ingestion & Metadata Extraction,Extract Metadata,As the system I need to extract metadata from a job description,Extract role; skills; domain; seniority; location; mandatory requirements; disqualifiers,Build metadata parser; Implement skill extraction; Add mandatory requirement detection
Job Ingestion & Metadata Extraction,Ingest Job from URL,As a user I want to provide a job URL,System fetches HTML; extracts text; handles errors,Implement URL fetcher; Add HTML converter; Add URL error handling
Scoring & CV Selection,Score Job,As the system I need to calculate a Fit Score,Score 0–100; apply weighting; detect failures/disqualifiers,Implement scoring engine; Add weighting rules
Scoring & CV Selection,Select Best CV,As the system I need to choose the best CV,Compare CVs; return best match; record CV ID,Build CV comparison module; Add CV metadata loader
Routing & Tracking,Route Job,As the system I need to route jobs based on Fit Score,Fit ≥93 → Main; Fit <93 → Under‑93; prevent duplicates,Implement routing engine; Add duplicate detection
Routing & Tracking,Maintain Tables,As the system I need to store job records,Save CSVs; validate schema; handle missing fields,Build CSV repository; Add schema validator
Document Generation,Generate Cover Letter,As a user I want a tailored cover letter,Triggered at ≥93; uses metadata; outputs file,Build cover letter generator; Add template engine
Document Generation,Generate Interview Pack,As a user I want an interview prep pack,Includes responsibilities; themes; talking points,Build interview pack generator
Document Generation,Generate Notes,As the system I need to generate notes,Includes matched/missing skills; rationale,Build notes generator
Progress Updates,Ingest CSVs,As the system I need to ingest Outlook CSVs,Accept CSVs; validate; parse events,Build CSV ingestion service
Progress Updates,Classify Events,As the system I need to classify events,Detect submission/interview/failure,Build event classifier
Progress Updates,Update Statuses,As the system I need to update job statuses,Promote interviews; mark failures; create placeholders,Build status update engine
Error Handling & Logging,Log Events,As the system I need to log events,Log ingestion; scoring; errors,Build logging service
Error Handling & Logging,Handle Malformed CSVs,As the system I need to handle malformed CSVs,Skip invalid rows; log errors,Add CSV error handler
